"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Antarctica","0","0","0","0","0","0","0","1","5","6","0","6","157","36","205"
"Bouvet Island","0","0","0","0","0","0","0","0","2","2","0","0","93","3","98"
"French Southern Territories","1","0","1","0","0","1","3","10","15","28","0","8","971","55","1,063"
"Heard Island and McDonald Islands","0","0","0","0","0","0","0","4","8","12","0","2","120","9","143"
"South Georgia and the South Sandwich Islands","0","0","0","0","0","0","0","4","5","9","0","6","190","13","218"
"Anguilla","1","0","1","0","0","1","9","12","36","57","0","20","1,149","70","1,297"
"Antigua and Barbuda","3","0","3","0","0","3","11","11","36","58","0","28","1,271","74","1,434"
"Aruba","0","0","0","0","0","0","5","7","28","40","0","20","1,105","56","1,221"
"Bahamas","2","0","2","1","0","3","14","19","50","83","0","37","1,690","136","1,948"
"Barbados","1","0","1","3","0","4","13","11","35","59","0","30","1,277","73","1,440"
"Bermuda","5","0","5","1","1","7","31","10","31","72","0","23","947","72","1,119"
"Bonaire, Sint Eustatius and Saba","1","0","1","0","0","1","9","10","42","61","0","21","1,218","77","1,378"
"Cayman Islands","2","0","2","0","0","2","11","17","32","60","0","30","1,175","74","1,341"
"Cuba","7","0","7","3","0","10","40","61","79","180","0","60","1,738","148","2,133"
"Curaçao","0","0","0","0","0","0","8","11","35","54","0","18","1,115","78","1,265"
"Dominica","1","0","1","1","0","2","11","14","37","62","0","30","1,305","78","1,476"
"Dominican Republic","9","0","9","6","0","15","31","58","66","155","0","53","1,451","84","1,752"
"Grenada","0","0","0","0","0","0","9","11","37","57","0","25","1,241","75","1,398"
"Guadeloupe","7","0","7","2","0","9","13","18","42","73","0","33","1,220","76","1,409"
"Haiti","10","0","10","13","0","23","57","53","65","175","0","53","1,395","80","1,713"
"Jamaica","3","0","3","5","0","8","25","37","47","109","0","43","1,322","86","1,563"
